"Region","Gender","Year","VerySatisfied","SlightlySatisfied","SatisfiedRate","Neutral","SlightlyDissatisfied","VeryDissatisfied","DissatisfiedRate","SatisfactionScore","SuicideRate"
"인천광역시","Male","2020","15.3","27.4","42.7","45.7","8.8","2.8","11.6","3.436","37"
"인천광역시","Male","2021","11.3","19.7","31","45.3","17.8","6.1","23.9","3.129","34.5"
"인천광역시","Male","2022","12.2","24.1","36.3","47.3","11.6","4.8","16.4","3.273","35"
"인천광역시","Male","2023","12.9","25.5","38.4","47.4","10.6","3.6","14.2","3.335","40.8"
"인천광역시","Male","2024","10.5","18.5","29","57.5","10.9","2.6","13.5","3.234","45.9"
"인천광역시","Female","2020","13.8","28.1","41.9","44.6","10.3","3.2","13.5","3.39","15.9"
"인천광역시","Female","2021","9.4","21.8","31.2","46.5","16.8","5.4","22.2","3.127","17.3"
"인천광역시","Female","2022","11.7","30.8","42.5","44","11.4","2.1","13.5","3.386","16.6"
"인천광역시","Female","2023","12.3","28.9","41.2","45.1","10.3","3.4","13.7","3.364","16.8"
"인천광역시","Female","2024","8.5","18.5","27","59","12.3","1.7","14","3.198","16.6"
"광주광역시","Total","2020","15.5","27.9","43.4","46.4","7.8","2.5","10.3","3.464","22.6"
"광주광역시","Total","2021","10.3","27.8","38.1","42.5","15.3","4.2","19.5","3.25","26.4"
"광주광역시","Total","2022","14.1","32.1","46.2","40.9","10.8","2.1","12.9","3.453","25"
"광주광역시","Total","2023","11.4","31.6","43","44.2","10.2","2.5","12.7","3.389","27.3"
"광주광역시","Total","2024","13.2","27.5","40.7","48.6","8.9","1.9","10.8","3.415","29.9"
"광주광역시","Male","2020","17.5","26.2","43.7","46.7","6.5","3.1","9.6","3.485","31.1"
"광주광역시","Male","2021","11.6","27.8","39.4","39.5","15.7","5.5","21.2","3.246","38"
"광주광역시","Male","2022","17.1","30.3","47.4","40.1","10.4","2.2","12.6","3.5","37.3"
